"","Title","Year","journal"
"3","High-quality Digital 3D Reconstruction of Microscopic Findings in Forensic Pathology: The Terminal Pathway of a Heart Stab Wound.",2020,"J. Forensic Sci."
"5","Mono- and Di-Fucosylated Glycans of the Parasitic Worm S. mansoni are Recognized Differently by the Innate Immune Receptor DC-SIGN.",2020,"Chemistry"
"8","Functionalization of N2 via Formal 1,3-Haloboration of a Tungsten(0) s-Dinitrogen Complex.",2020,"Chemistry"
"31","Central nervous system oxygen toxicity during 100% oxygen breathing at normobaric pressure: Reply.",2020,"Diving Hyperb Med"
"32","Central nervous system oxygen toxicity during 100% oxygen breathing at normobaric pressure.",2020,"Diving Hyperb Med"
"33","Hyperbaric oxygen therapy in a patient with Guillain-Barré syndrome receiving mechanical ventilation.",2020,"Diving Hyperb Med"
"34","Cerebral arterial gas embolism proven by computed tomography following transthoracic echocardiography using bubble contrast.",2020,"Diving Hyperb Med"
"35","Dysbaric osteonecrosis in technical divers: The new 'at-risk' group?",2020,"Diving Hyperb Med"
"36","Arterial gas embolism breathing compressed air in 1.2 metres of water.",2020,"Diving Hyperb Med"
"37","Pre-hydration strongly reduces decompression sickness occurrence after a simulated dive in the rat.",2020,"Diving Hyperb Med"
"38","Diving after SARS-CoV-2 (COVID-19) infection: Fitness to dive assessment and medical guidance.",2020,"Diving Hyperb Med"
"39","South Pacific Underwater Medicine Society guidelines for cardiovascular risk assessment of divers.",2020,"Diving Hyperb Med"
"40","Monoplace chamber treatment of decompression illness: Review and commentary.",2020,"Diving Hyperb Med"
"41","Thermal balance of spinal cord injured divers during cold water diving: A case control study.",2020,"Diving Hyperb Med"
"42","An observational trial to establish the effect of hyperbaric oxygen treatment on pelvic late radiation tissue injury due to radiotherapy.",2020,"Diving Hyperb Med"
"43","The evaluation of in-chamber sound levels during hyperbaric oxygen applications: Results of 41 centres.",2020,"Diving Hyperb Med"
"44","Assessment of insulin sensitivity during hyperbaric oxygen treatment.",2020,"Diving Hyperb Med"
"45","Evaluation of pressure in water-filled endotracheal tube cuffs in intubated patients undergoing hyperbaric oxygen treatment.",2020,"Diving Hyperb Med"
"46","Scuba diving fatalities in Australia 2001 to 2013: Chain of events.",2020,"Diving Hyperb Med"
"47","Endothelial function may be enhanced in the cutaneous microcirculation after a single air dive.",2020,"Diving Hyperb Med"
"48","The effect of hyperbaric oxygen treatment on late radiation tissue injury after breast cancer: A case-series of 67 patients.",2020,"Diving Hyperb Med"
"56","A striking result from antenatal exposure to N-acetylcysteine.",2020,"Pediatr. Res."
"57","COVID-19 and Extracellular Vesicles: An Intriguing Interplay.",2020,"Kidney Blood Press. Res."
"58","Ethnic Differences in Access to Stroke Reperfusion Therapy in Northern New Zealand.",2020,"Neuroepidemiology"
"59","Quantitative Polymerase Chain Reaction Detection of Microchimerism in Female Transplant Renal Recipients.",2020,"Urol. Int."
"60","Descriptive Analysis of Cross-Reactive Anaphylaxis as a Different Clinical Subtype of Nonsteroidal Anti-Inflammatory Drug (NSAID) Hypersensitivity.",2020,"Int. Arch. Allergy Immunol."
"61","The Causal Relationship between Eating Animals and Viral Epidemics.",2020,"Microb Physiol"
"62","Reinforcing the Team: A Call to Critical Care Nephrology in the COVID-19 Epidemic.",2020,"Blood Purif."
"63","Molecular Origin, Expression Regulation, and Biological Function of Androgen Receptor Splicing Variant 7 in Prostate Cancer.",2020,"Urol. Int."
"64","Dietary Vitamin E Intake Was Inversely Associated with Hyperuricemia in US Adults: NHANES 2009-2014.",2020,"Ann. Nutr. Metab."
"65","Altered Expressions of AQP3 and ADP Are Closely Related with the Risk of Preeclampsia Occurrence.",2020,"Gynecol. Obstet. Invest."
"66","Economic Impact of the Introduction of Outpatient Medical Specialist Care (ASV) of Gastrointestinal Cancer Patients from a German Hospital Management Perspective.",2020,"Oncol Res Treat"
"67","Successful Transfemoral Transcatheter Aortic Valve Replacement in a Patient with Double Aortic Arch: An Interesting Imaging Case.",2020,"Cardiology"
"68","Axonal Degeneration Independent of Inflammatory Activity: Is It More Intense in the Early Stages of Relapsing-Remitting Multiple Sclerosis Disease?",2020,"Eur. Neurol."
"69","A Potential Predictive Biomarker for Miller/Payne Grading: PD-L1 Expression before Neoadjuvant Chemotherapy in Breast Cancer.",2020,"Oncol Res Treat"
"70","Cost-Effectiveness of an Obesity Management Program for 6- to 15-Year-Old Children in Poland: Data from Over Three Thousand Participants.",2020,"Obes Facts"
"71","Health-Related Quality of Life and Survival in Prostate Cancer Patients in a Real-World Setting.",2020,"Urol. Int."
"72","Vectorcardiography Findings Are Associated with Recurrent Ventricular Arrhythmias and Mortality in Patients with Heart Failure Treated with Implantable Cardioverter-Defibrillator Device.",2020,"Cardiology"
"73","Preoperative Magnetic Resonance Image Quality in Motion Disorder Patients Scheduled for Deep Brain Stimulation Surgery.",2020,"Stereotact Funct Neurosurg"
"85","Glioblastoma cell differentiation trajectory predicts the immunotherapy response and overall survival of patients.",2020,"Aging (Albany NY)"
"86","Alzheimer's disease as a systems network disorder: chronic stress/dyshomeostasis, innate immunity, and genetics.",2020,"Aging (Albany NY)"
"87","RAI14 silencing suppresses progression of esophageal cancer via the STAT3 pathway.",2020,"Aging (Albany NY)"
"88","Athlete-Reported Outcome Measures for Monitoring Training Responses: A Systematic Review of Risk of Bias and Measurement Property Quality According to the COSMIN Guidelines.",2020,"Int J Sports Physiol Perform"
"89","More Pace Variation and Pack Formation in Successful World-Class 10,000-m Runners Than in Less Successful Competitors.",2020,"Int J Sports Physiol Perform"
"90","Changes in Self-Reported Physical Fitness, Performance, and Side Effects Across the Phases of the Menstrual Cycle Among Competitive Endurance Athletes.",2020,"Int J Sports Physiol Perform"
"91","Hormonal Contraceptive Use, Menstrual Dysfunctions, and Self-Reported Side Effects in Elite Athletes in Denmark.",2020,"Int J Sports Physiol Perform"
