"","fips","polyname"
"1186",25001,"massachusetts,barnstable"
"1187",25003,"massachusetts,berkshire"
"1188",25005,"massachusetts,bristol"
"1189",25007,"massachusetts,dukes"
"1190",25009,"massachusetts,essex"
"1191",25011,"massachusetts,franklin"
"1192",25013,"massachusetts,hampden"
"1193",25015,"massachusetts,hampshire"
"1194",25017,"massachusetts,middlesex"
"1195",25019,"massachusetts,nantucket"
"1196",25021,"massachusetts,norfolk"
"1197",25023,"massachusetts,plymouth"
"1198",25025,"massachusetts,suffolk"
"1199",25027,"massachusetts,worcester"
