"","Title","Abstract"
"1","Clinical and imaging features of dermatofibrosarcoma protuberans in the breast.",""
"2","[Brief Scale to assess Social Support in Chronic Diseases (SUCE-4)].","                 Label=""AIM OF THE STUDY"" NlmCategory=""OBJECTIVE"":Social support is an important resource for coping with serious chronic diseases such as cancer. The available questionnaires for the measurement of social support are usually extensive. So far, available short versions do not completely aim at situation-specific requirements of the social environment of chronically ill patients. Therefore, a short form of a measure of perceived social support was developed consisting of only 4 items: the SUCE-4.                 Label=""METHODS"" NlmCategory=""METHODS"":A sample of cancer patients (N=424) was examined at 2 time points. The factor structure was evaluated using exploratory and confirmatory factor analysis (CFA) and reliability and validity were examined.                 Label=""RESULTS"" NlmCategory=""RESULTS"":The expected factor structure was confirmed (for CFA: RMSEA=0.028). The short questionnaire revealed a good internal consistency (Cronbach's α&gt;0.86). In terms of the first indications of validity, significant and expected correlations with psychological quality of life, self-efficacy expectations, depression and anxiety were found at both time points.                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":The SUCE-4 is an economical, reliable and valid instrument for the assessment of perceived social support in the context of severe chronic diseases such as cancer.             Label=""ZIEL DER STUDIE"" NlmCategory=""UNASSIGNED"":Soziale Unterstützung ist bei schweren chronischen Erkrankungen wie z. B. Krebs eine wichtige Ressource zur Krankheitsbewältigung. Die verfügbaren Fragebögen zur Erfassung der sozialen Unterstützung sind meist recht umfangreich. Bisher vorliegende Kurzformen zielen inhaltlich nicht vollständig auf die situationsspezifischen Anforderungen an das soziale Umfeld ab. Deshalb wurde eine Kurzform zur Messung der wahrgenommenen sozialen Unterstützung bestehend aus 4 Items entwickelt: der SUCE-4.             Label=""METHODEN"" NlmCategory=""UNASSIGNED"":Es wurde eine Stichprobe von Krebspatienten (N=424) zu 2 Messzeitpunkten betrachtet. Die Faktorenstruktur wurde mit einer explorativen und einer konfirmatorischen Faktorenanalyse (CFA) evaluiert und Reliabilität und Validität wurden geprüft.             Label=""ERGEBNISSE"" NlmCategory=""UNASSIGNED"":Die angenommene Faktorenstruktur wurde bestätigt (bei der CFA: RMSEA=0,028). Die Kurzform hatte eine gute interne Konsistenz (Cronbachs α&gt;0,86). Im Sinne erster Hinweise auf Validität fanden sich zu beiden Zeitpunkten signifikante erwartungskonforme Zusammenhänge mit psychischer Lebensqualität, Selbstwirksamkeitserwartung, Depressivität und Ängsten.             Label=""SCHLUSSFOLGERUNG"" NlmCategory=""UNASSIGNED"":Der SUCE-4 ist ein ökonomisches, reliables und valides Instrument zur Erfassung wahrgenommener sozialer Unterstützung im Kontext schwerer chronischer Erkrankungen wie z. B. Krebs. "
"3","N-acetylcysteine protects ovarian follicles from ischemia-reperfusion injury in xenotransplanted human ovarian tissue.","                 Label=""STUDY QUESTION"" NlmCategory=""OBJECTIVE"":Can antioxidant treatment with N-acetylcysteine (NAC) protect ovarian follicles from ischemia-reperfusion injury in xenotransplanted human ovarian tissue?                 Label=""SUMMARY ANSWER"" NlmCategory=""UNASSIGNED"":Daily administration of NAC for 7-12 days post-transplantation reduced ischemia-reperfusion injury and increased follicle survival in human ovarian xenografts by upregulating the antioxidant defense system and exerting anti-inflammatory and antiapoptotic effects.                 Label=""WHAT IS KNOWN ALREADY"" NlmCategory=""UNASSIGNED"":Freezing of human ovarian tissue is performed with high follicular survival rates but up to 70% of follicles appear to be lost due to hypoxia and ischemia-reperfusion injury during ovarian tissue transplantation (OTT). NAC has been demonstrated to possess antioxidant and antiapoptotic properties, and studies in rodents have shown that intraperitoneal administration of NAC reduces ischemia-reperfusion injury and increases follicle survival in autotransplanted murine ovaries.                 Label=""STUDY DESIGN, SIZE, DURATION"" NlmCategory=""UNASSIGNED"":Pieces of frozen-thawed human ovarian tissue from 28 women aged 23-36 years were transplanted to immunodeficient mice in short- and long-term xenograft studies or cultured in vitro. Three short-term xenograft studies (1-week duration) were performed, in which saline or 150 mg/kg NAC was administered for 7 days post-transplantation (n = 12 patients per group). Two long-term xenograft studies (4 weeks of duration) were performed. In one of these studies, saline or 150 mg/kg NAC was administered for 12 days (n = 12 patients per group), while in the other study 50, 150 or 300 mg/kg NAC was administered for 7 days (n = 8 patients per group). In addition, human ovarian tissue (n = 12 pieces from three patients per group) was cultured with increasing concentrations of NAC (0, 5, 25 and 75 mM) for 4 days in vitro.                 Label=""PARTICIPANTS/MATERIALS, SETTING, METHODS"" NlmCategory=""UNASSIGNED"":Donated ovarian tissue was obtained from women who had undergone ovarian tissue cryopreservation for fertility preservation at the University Hospital of Copenhagen. Cortical tissue pieces (5 × 5 × 1 mm) were transplanted subcutaneously to immunodeficient mice and NAC or saline was injected intraperitoneally. Grafts were retrieved after 1 or 4 weeks and follicle density was assessed. Gene expression analysis of antioxidant defense markers (superoxide dismutase; Sod1/SOD1, heme oxygenase-1; Hmox1/HMOX1, catalase; Cat/CAT), proinflammatory cytokines (tumor necrosis factor-alpha; Tnf-α, interleukin-1-beta; Il1-β, interleukin 6; Il6), apoptotic factors (B-cell lymphoma 2; Bcl2/BCL2, Bcl-2-associated X protein; Bax/BAX) and angiogenic factors (vascular endothelial growth factor A; Vegfa/VEGFA, angiopoietin-like 4; Angptl4/ANGPTL4) was performed in 1-week-old human ovarian xenografts and in cultured human ovarian tissue. Grafts retrieved after 4 weeks were histologically processed and analyzed for vascularization by CD31 immunohistochemical staining, fibrosis by Masson's Trichrome staining and apoptosis by immunofluorescence using cleaved caspase-3.                 Label=""MAIN RESULTS AND THE ROLE OF CHANCE"" NlmCategory=""UNASSIGNED"":After 1-week grafting, the relative expression of Sod1, Hmox1 and Cat was significantly higher in the group receiving 150 mg/kg NAC (NAC150-treated group) compared to controls (P = 0.04, P = 0.03, and P = 0.01, respectively), whereas the expression levels of Tnf-α, Il1-β and Il6 were reduced. The Bax/Bcl2 ratio was also significantly reduced in the NAC150-treated group (P &lt; 0.005). In vitro, the relative gene expression of SOD1, HMOX1 and CAT increased significantly in the human ovarian tissue with increasing concentrations of NAC (P &lt; 0.001 for all genes). However, the expression of VEGFA and ANGPTL4 as well as the BAX/BCL2 ratio decreased significantly with increasing concentrations of NAC (P &lt; 0.02, P &lt; 0.001 and P &lt; 0.001, respectively). After 4-week grafting, fibrosis measured by collagen content was similar in the NAC150-treated group compared to controls (control: 56.6% ± 2.2; NAC150: 57.6% ± 1.8), whereas a statistically significant reduction in the CD31-positive vessel area was found (control: 0.69% ± 0.08; NAC150: 0.51% ± 0.07; P &lt; 0.02). Furthermore, a reduced immunoreactivity of cleaved caspase-3 was observed in follicles of the NAC150-treated xenografts compared to controls. Follicle density (follicles/mm3, mean ± SD) was higher in the NAC150-treated group compared to the control group in the 1-week xenografts (control: 19.5 ± 26.3; NAC150: 34.2 ± 53.5) and 4-week xenografts (control: 9.3 ± 11.0; NAC150: 14.4 ± 15.0). Overall, a 2-fold increase in follicle density was observed in the NAC150-group after 1-week grafting where fold changes in follicle density were calculated in relation to grafts from the same patient. Around a 5-fold increase in follicle density was observed in the NAC150 and NAC300 groups after 4-week grafting.                 Label=""LARGE SCALE DATA"" NlmCategory=""UNASSIGNED"":N/A.                 Label=""LIMITATIONS, REASONS FOR CAUTION"" NlmCategory=""UNASSIGNED"":Follicle density in the human ovarian cortex is highly heterogeneous and can vary 100-fold between cortex pieces from the same woman. A high variability in follicle density within and between treatment groups and patients was found in the current study. Thus, solid conclusions cannot be made. While intraperitoneal injections of NAC appeared to reduce ischemia-reperfusion injury in human ovarian xenografts, different administration routes should be investigated in order to optimize NAC for potential clinical use.                 Label=""WIDER IMPLICATIONS OF THE FINDINGS"" NlmCategory=""UNASSIGNED"":This is the first study to demonstrate the antioxidant, anti-inflammatory and antiapoptotic properties of NAC in xenotransplanted human ovarian tissue. Therefore, NAC appears to be a promising candidate for protecting ovarian follicles from ischemia-reperfusion injury. This provides the initial steps toward clinical application of NAC, which could potentially reduce the loss of ovarian follicles following OTT.                 Label=""STUDY FUNDING/COMPETING INTEREST(S)"" NlmCategory=""UNASSIGNED"":We are grateful to the Danish Childhood Cancer Foundation, Hørslev Foundation, Aase and Einar Danielsen's Foundation (grant number: 10-001999), Dagmar Marshalls Foundation, Else and Mogens Wedell-Wedellsborgs Foundation, Knud and Edith Eriksens Mindefond, and Fabrikant Einar Willumsens Mindelegat for funding this study. None of the authors have any competing interests to declare. "
"4","Establishing patient-tailored variability-based paradigms for anti-cancer therapy: Using the inherent trajectories which underlie cancer for overcoming drug resistance.","Drug resistance is a major obstacle for successful therapy of many malignancies and is affecting the loss of response to chemotherapy and immunotherapy. Tumor-related compensatory adaptation mechanisms contribute to the development of drug resistance. Variability is inherent to biological systems and altered patterns of variability are associated with disease conditions. The marked intra and inter patient tumor heterogeneity, and the diverse mechanism contributing to drug resistance in different subjects, which may change over time even in the same patient, necessitate the development of personalized dynamic approaches for overcoming drug resistance. Altered dosing regimens, the potential role of chronotherapy, and drug holidays are effective in cancer therapy and immunotherapy. In the present review we describe the difficulty of overcoming drug resistance in a dynamic system and present the use of the inherent trajectories which underlie cancer development for building therapeutic regimens which can overcome resistance. The establishment of a platform wherein patient-tailored variability signatures are used for overcoming resistance for ensuing long term sustainable improved responses is presented."
"5","Does the proteasome inhibitor bortezomib sensitize to DNA-damaging therapy in gastroenteropancreatic neuroendocrine neoplasms? - A preclinical assessment in vitro and in vivo.","                 Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":Well-differentiated gastroenteropancreatic neuroendocrine neoplasms are rare tumors with a slow proliferation. They are virtually resistant to many DNA-damaging therapeutic approaches, such as chemo- and external beam therapy, which might be overcome by DNA damage inhibition induced by proteasome inhibitors such as bortezomib.                 Label=""METHODS AND RESULTS"" NlmCategory=""RESULTS"":In this study, we assessed several combined treatment modalities in vitro and in vivo. By cell-based functional analyses, in a 3D in ovo and an orthotopic mouse model, we demonstrated sensitizing effects of bortezomib combined with cisplatin, radiation and peptide receptor radionuclide therapy (PRRT). By gene expression profiling and western blot, we explored the underlying mechanisms, which resulted in an impaired DNA damage repair. Therapy-induced DNA damage triggered extrinsic proapoptotic signaling as well as the induction of cell cycle arrest, leading to a decreased vital tumor volume and altered tissue composition shown by magnetic resonance imaging and F-18-FDG-PET in vivo, however with no significant additional benefit related to PRRT alone.                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":We demonstrated that bortezomib has short-term sensitizing effects when combined with DNA damaging therapy by interfering with DNA repair in vitro and in ovo. Nevertheless, due to high tumor heterogeneity after PRRT in long-term observations, we were not able to prove a therapeutic advantage of bortezomib-combined PRRT in an in vivo mouse model. "
"6","Differential epigenetic profiles induced by sodium selenite in breast cancer cells.","                 Label=""OBJECTIVES"" NlmCategory=""OBJECTIVE"":Selenium (Se) was a potential anticancer micronutrient with proposed epigenetic effect. However, the Se-induced epigenome in breast cancer cells was yet to be studied.                 Label=""METHODS"" NlmCategory=""METHODS"":The profiles of DNA methylation, microRNA (miRNA), long non-coding RNA (lncRNA), and message RNA (mRNA) in breast cancer cells treated with sodium selenite were examined by microarrays. We verified the epigenetic modifications by integrating their predicted target genes and differentially expressed mRNAs. The epigenetically regulated genes were further validated in a breast cancer cohort by associating with tumor progression. We conducted a series of bioinformatics analyses to assess the biological function of these validated genes and identified the critical genes.                 Label=""RESULTS"" NlmCategory=""RESULTS"":The Se-induced epigenome regulated the expression of 959 genes, and 349 of them were further validated in the breast cancer cohort. Biological function analyses suggested that these validated genes were enriched in several cancer-related pathways, such as PI3K/Akt and metabolic pathways. Based on the degrees of expression change, hazard ratio difference, and connectivity, NEDD4L and FMO5 were identified as the critical genes.                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":These results confirmed the epigenetic effects of sodium selenite and revealed the epigenetic profiles in breast cancer cells, which would help understand the mechanisms of Se against breast cancer. "
"7","Smoking and COVID-19: What we know so far.","The ongoing COVID-19 pandemic has placed a spotlight on infectious diseases and their associations with host factors and underlying conditions. New data on the Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) virus are entering the public domain at a rapid rate such that their distillation often lags behind. To minimise weak associations becoming perceived as established paradigms, it is imperative that methodologies and outputs from different studies are appropriately critiqued and compared. In this review, we examine recent data on a potential relationship between smoking and COVID-19. While the causal role of smoking has been firmly demonstrated in regard to lung cancer and chronic obstructive pulmonary disease, such associations have the benefit of decades' worth of multi-centre epidemiological and mechanistic data. From our analysis of the available studies to date, it appears that a relationship is emerging in regard to patients with a smoking history having a higher likelihood of developing more severe symptoms of COVID-19 disease than non-smokers. Data on whether COVID-19 has a greater incidence in smokers than non-smokers is thus far, contradictory and inconclusive. There is therefore a need for some caution to be exercised until further research has been conducted in a wider range of geographical settings with sufficient numbers of patients that have been carefully phenotyped in respect of smoking status and adequate statistical control for confounding factors."
"8","LncRNA SPINT1-AS1 promotes breast cancer proliferation and metastasis by sponging let-7 a/b/i-5p.","                 Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":A growing number of studies have shown that long non-coding RNAs (lncRNAs) play an important role in the occurrence and development of tumors. In this study, we explored the function and molecular mechanism of lncRNA SPINT1-AS1 in breast cancer progression.                 Label=""METHODS"" NlmCategory=""METHODS"":A total of 30 patients and 25 healthy controls were enrolled to detect the expression of SPINT1-AS1 in the serum by RT-qPCR. CCK-8 assay, clone formation assay, EdU assay, Transwell assay, Flow cytometry for apoptosis assay and wound healing assays were used to explore the effects of SPINT1-AS1 on the proliferation and migration of breast cancer cells. Bioinformatics analysis were used to enrich the downstream target genes and related pathways of miRNAs interacting with SPINT1-AS1, construct a competitive endogenous RNA (ceRNA) network diagram.                 Label=""RESULTS"" NlmCategory=""RESULTS"":SPINT1-AS1 is up-regulated in the serum of breast cancer patients and breast cancer cell lines. The proliferation and migration ability of breast cancer cells were decreased significantly after SPINT1-AS1 knockdown, and it may inhibit its expression by sponging miR-let-7a/b/i-5p, thereby promoting breast cancer progression.                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":SPINT1-AS1 can promote the proliferation and migration of breast cancer cells by regulating miR-let-7a/b/i-5p, suggesting that it may be an important regulator of breast cancer progression. "
"9","Survival prediction and response to immune checkpoint inhibitors: A prognostic immune signature for hepatocellular carcinoma.","Hepatocellular carcinoma (HCC) is one of the most common cancers all over the world. Several studies have explored if immune-related genes and tumor immune microenvironment could play roles in HCC prognoses. This study is aimed at developing a prognostic signature of HCC based on immune-related genes or tumor immune microenvironment to predict survival and response to immune checkpoint inhibitors (ICIs). We constructed a prognostic signature using bioinformatics method and validated its predictive capability. The mechanisms of the signature prediction were explored with The Cancer Immunome Atlas (TCIA) and mutation analysis. We also explored the association between the signature and immunophenoscore (IPS), which is the marker of ICIs response. A 6 immune-related-gene (6-IRG) signature was developed. It was revealed in a multivariate analysis that the 6-IRG signature was an independent prognostic factor of overall survival and progression-free interval among HCC patients. In the high-risk group of 6-IRG signature score, macrophage M0 cells and regulatory T cells, which are observed associated with poor overall survival in our study, were higher. The low-risk group had a higher IPS, which meant a better response to ICIs. Taken together, we constructed a reliable 6-IRG signature for prediction of survival and response to ICIs. The signature needs further testing for clinical application."
"11","Machine learning for lung CT texture analysis: Improvement of inter-observer agreement for radiological finding classification in patients with pulmonary diseases.","                 Label=""PURPOSE"" NlmCategory=""OBJECTIVE"":To evaluate the capability ML-based CT texture analysis for improving interobserver agreement and accuracy of radiological finding assessment in patients with COPD, interstitial lung diseases or infectious diseases.                 Label=""MATERIALS AND METHODS"" NlmCategory=""METHODS"":Training cases (n = 28), validation cases (n = 17) and test cases (n = 89) who underwent thin-section CT at a 320-detector row CT with wide volume scan and two 64-detector row CTs with helical scan were enrolled in this study. From 89 CT data, a total of 350 computationally selected ROI including normal lung, emphysema, nodular lesion, ground-glass opacity, reticulation and honeycomb were evaluated by three radiologists as well as by the software. Inter-observer agreements between consensus reading with and without using the software or software alone and standard references determined by consensus of pulmonologists and chest radiologists were determined using κ statistics. Overall distinguishing accuracies were compared among all methods by McNemar's test.                 Label=""RESULTS"" NlmCategory=""RESULTS"":Agreements for consensus readings obtained with and without the software or the software alone with standard references were determined as significant and substantial or excellent (with the software: κ = 0.91, p &lt; 0.0001; without the software: κ = 0.81, p &lt; 0.0001; the software alone: κ = 0.79, p &lt; 0.0001). Overall differentiation accuracy of consensus reading using the software (94.9 [332/350] %) was significantly higher than that of consensus reading without using the software (84.3 [295/350] %, p &lt; 0.0001) and the software alone (82.3 [288/350] %, p &lt; 0.0001).                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":ML-based CT texture analysis software has potential for improving interobserver agreement and accuracy for radiological finding assessments in patients with COPD, interstitial lung diseases or infectious diseases. "
