"","Title","Year","journal"
"4","Confinement effects on lyotropic nematic liquid crystal phases of graphene oxide dispersions.",2017,"2d Mater"
"10","Lifestyle Modification Group for Lymphedema and Obesity Results in Significant Health Outcomes.",2017,"Am J Lifestyle Med"
"15","Characteristics of patients with knee and ankle symptoms accessing physiotherapy: self-referral vs general practitioner's referral.",2017,"Physiotherapy"
"17","Sport burnout inventory-Dual career form for student-athletes: Assessing validity and reliability in a Finnish sample of adolescent athletes.",2017,"J Sport Health Sci"
"18","Validation and adaptation of the Physical Activity Enjoyment Scale (PACES) in fitness group exercisers.",2017,"J Sport Health Sci"
"19","Validity of long-term and short-term recall of occupational sitting time in Finnish and Chinese office workers.",2017,"J Sport Health Sci"
"31","Experience of an upper limb training program with a non-immersive virtual reality system in patients after stroke: a qualitative study.",2017,"Physiotherapy"
"34","Maximality and ontology: how axiom content varies across philosophical frameworks.",2017,"Synthese"
"35","Treatment outcomes with daily self-administered treatment and thrice-weekly directly-observed treatment in two cohorts of newly-diagnosed, sputum-positive adults with pulmonary tuberculosis.",2017,"Indian J Tuberc"
"37","Future of Haemophilia Research in India.",2017,"Indian J Hematol Blood Transfus"
"38","Comparing eight types of ginsenosides in ginseng of different plant ages and regions using RRLC-Q-TOF MS/MS.",2017,"J Ginseng Res"
"39","Depression in People with Epilepsy. What is the Connection?",2017,"Rev Colomb Psiquiatr"
"42","Assessing probabilistic predictions of ENSO phase and intensity from the North American Multimodel Ensemble.",2017,"Clim Dyn"
"43","Evaluation of NMME temperature and precipitation bias and forecast skill for South Asia.",2017,"Clim Dyn"
"44","Deterministic skill of ENSO predictions from the North American Multimodel Ensemble.",2017,"Clim Dyn"
"48","Expression of CD1a, CD207, CD11b, CD11c, CD103, and HLA-DR receptors on the surface of dendritic cells in the skin of patients with atopic dermatitis.",2017,"Postepy Dermatol Alergol"
"52","Functional Recovery in Schizophrenia.",2017,"Rev Colomb Psiquiatr"
"54","Resolving Perplexity: Comparison of Endoscopic Dacryocystorhinostomy With and Without Stent.",2017,"Indian J Otolaryngol Head Neck Surg"
"55","Identification of Nasal Irrigation Bottle Contamination in Post Sinonasal Surgery.",2017,"Indian J Otolaryngol Head Neck Surg"
"56","Incidence and Recurrence of Allergic Fungal Sinusitis at Tertiary Care Facility.",2017,"Indian J Otolaryngol Head Neck Surg"
"57","The Correlation of Allergic Rhinitis with ABO Phenotype.",2017,"Indian J Otolaryngol Head Neck Surg"
"58","Conidiobolomycosis: An Unusual Fungal Disease-Our Experience.",2017,"Indian J Otolaryngol Head Neck Surg"
"59","Asymptomatic Radio-Opacity at the Floor of Nasal Cavity.",2017,"Indian J Otolaryngol Head Neck Surg"
"60","Effect of Radiofrequency on DNA Damage and Oxidative Status in Patients with Turbinate Hypertrophy.",2017,"Indian J Otolaryngol Head Neck Surg"
"61","Odontogenic Fungal Maxillary Sinusitis: A Case Report of a Displaced Dental Foreign Body.",2017,"Indian J Otolaryngol Head Neck Surg"
"62","Role of Computed Tomography Findings in the Quest of Understanding Origin of Antrochoanal Polyp.",2017,"Indian J Otolaryngol Head Neck Surg"
"63","Primary Spheno-Petro-Clival Tuberculosis.",2017,"Indian J Otolaryngol Head Neck Surg"
"64","A Comparative Study of Radiograph and Nasal Endoscopy in Diagnosis of Hypertrophied Adenoids.",2017,"Indian J Otolaryngol Head Neck Surg"
"65","Computed Tomography Score an Excellent Marker: Differentiates Eosinophilic and Non-eosinophilic Variants of Chronic Rhinosinusitis with Nasal Polyp.",2017,"Indian J Otolaryngol Head Neck Surg"
"66","Olfaction and Its Correlates in Allergic Rhinitis: A Case Control Study.",2017,"Indian J Otolaryngol Head Neck Surg"
"67","Sinonasal Undifferentiated Carcinoma in a Patient Previously Treated for an Intestinal-Type Adenocarcinoma: Metachronous Neoplasms or Recurrence of a Different Tumor Type?",2017,"Indian J Otolaryngol Head Neck Surg"
"68","Mature Nasopharyngeal Teratoma in a Neonate: Case Report and a Review of Literature.",2017,"Indian J Otolaryngol Head Neck Surg"
"69","Patterns, Presentations and Prognosis of Nasal Polyps.",2017,"Indian J Otolaryngol Head Neck Surg"
"70","Effectiveness of Nasal Packing in Trans-septal Suturing Technique in Septoplasty: A Randomized Comparative Study.",2017,"Indian J Otolaryngol Head Neck Surg"
"71","Isolated Sphenoid Sinusitis.",2017,"Indian J Otolaryngol Head Neck Surg"
"72","Binder's Syndrome: A Case Report.",2017,"Indian J Otolaryngol Head Neck Surg"
"73","Impact of Hatha Yoga on the Airway Resistances in Healthy Individuals and Allergic Rhinitis Patients.",2017,"Indian J Otolaryngol Head Neck Surg"
"74","A Case of Myoepithelioma of the Nasal Cavity.",2017,"Indian J Otolaryngol Head Neck Surg"
"75","Diagnostic Test Value of Assessment Adenoid Enlargement with and Without Airway Obstruction Using Lateral Soft Tissues X-ray Compared to Nasoendoscopy.",2017,"Indian J Otolaryngol Head Neck Surg"
"76","Nasal Endoscopy as an Effective Alternative for CT-Scan in Diagnosing Chronic Rhinosinusitis: A Clinical Study and Review of Literature.",2017,"Indian J Otolaryngol Head Neck Surg"
"77","Is 'Group and Save' Blood Request Routinely Required for Nasopharyngeal Biopsy?",2017,"Indian J Otolaryngol Head Neck Surg"
"78","Hamartomatous Polyp of the Nasopharynx: A Rare Case Report.",2017,"Indian J Otolaryngol Head Neck Surg"
"79","Nasal Irrigation as Treatment in Sinonasal Symptoms Relief: A Review of Its Efficacy and Clinical Applications.",2017,"Indian J Otolaryngol Head Neck Surg"
"80","Evaluation of the Role of Nasal Endoscopy and Computed Tomography Individually in the Diagnosis of Chronic Rhinosinusitis.",2017,"Indian J Otolaryngol Head Neck Surg"
"82","Influence of olive leaves extract on hepatorenal injury in streptozotocin diabetic rats.",2017,"Saudi J Biol Sci"
"86","Osteomas of Temporal Bone: A Retrospective Study.",2017,"Indian J Otolaryngol Head Neck Surg"
"87","Application of Platelet Rich Fibrin Matrix to Repair Traumatic Tympanic Membrane Perforations: A Pilot Study.",2017,"Indian J Otolaryngol Head Neck Surg"
"88","Intratympanic Injection of Steroid for Treatment of Tinnitus.",2017,"Indian J Otolaryngol Head Neck Surg"
"89","Morphometric Analysis of the External Auditory Canal by Computed Tomography in Indian Population.",2017,"Indian J Otolaryngol Head Neck Surg"
"90","Relook on Mastoid Cavity Obliteration: A Prospective Study.",2017,"Indian J Otolaryngol Head Neck Surg"
"91","Prevalence of Severe and Profound Sensorineural Hearing Loss in School Children in West Bengal, India.",2017,"Indian J Otolaryngol Head Neck Surg"
"92","Simple Tips for Ear Lobule Reconstruction-&quot;Lobuloplasty Revisited&quot;.",2017,"Indian J Otolaryngol Head Neck Surg"
"93","Longitudinal Study of Type I Interlay Tympanoplasty.",2017,"Indian J Otolaryngol Head Neck Surg"
"94","Prelingual Deafness: An Overview of Treatment Outcome.",2017,"Indian J Otolaryngol Head Neck Surg"
"95","Clinico-Bacteriological Study of Chronic Otitis Media and its Prevalence in Tertiary Care Hospital.",2017,"Indian J Otolaryngol Head Neck Surg"
"96","A Short Term Comparison of Cartilage with Temporalis Fascia Graft Tympanoplasty in Paediatric and Adolescent Population.",2017,"Indian J Otolaryngol Head Neck Surg"
"97","Cinnarizine: A Contemporary Review.",2017,"Indian J Otolaryngol Head Neck Surg"
"99","To Study the Association of the Size and Site of Tympanic Membrane Perforation with the Degree of Hearing Loss.",2017,"Indian J Otolaryngol Head Neck Surg"
"100","Quality of Life Rating for Dizziness: A Self-reporting Questionnaire.",2017,"Indian J Otolaryngol Head Neck Surg"
"101","Outcomes of Using Otoendoscopy During Surgery for Cholesteatoma.",2017,"Indian J Otolaryngol Head Neck Surg"
"102","Neuroendocrine Tumour of the Middle Ear: A Case Report.",2017,"Indian J Otolaryngol Head Neck Surg"
"105","The Clinicopathological Study of Benign Lesions of Vocal Cords.",2017,"Indian J Otolaryngol Head Neck Surg"
"106","Clinicopathological Profile of Cervical Tubercular Lymphadenitis with Special Reference to Fine Needle Aspiration Cytology.",2017,"Indian J Otolaryngol Head Neck Surg"
"107","Study of Demographic Profile of Organophosphate Compound Poisoning with Special Reference to Early Versus Late Tracheostomy in Tertiary Care Hospital in Rural Area.",2017,"Indian J Otolaryngol Head Neck Surg"
"108","Tolerance of Chemoradiation in Advanced Head and Neck Cancers: Comparison Between Inpatients and Outpatients.",2017,"Indian J Otolaryngol Head Neck Surg"
"109","Evaluation of Serum Selenium and Erythrocyte Glutathione Peroxidase Levels in Patients with Recurrent Tonsillitis.",2017,"Indian J Otolaryngol Head Neck Surg"
"110","Postoperative Outcomes in Cold Dissection Versus Bipolar Electrocautery Tonsillectomy: A Randomized Double-Blind Controlled Study.",2017,"Indian J Otolaryngol Head Neck Surg"
"111","Encountering Chronic Sore Throat: How Challenging is it for the Otolaryngologists?",2017,"Indian J Otolaryngol Head Neck Surg"
"112","Coblation Versus Conventional Tonsillectomy: A Double Blind Randomized Controlled Trial.",2017,"Indian J Otolaryngol Head Neck Surg"
"113","Reliability of Thyroid FNAC as a Single Diagnostic Modality: A Systematic Review.",2017,"Indian J Otolaryngol Head Neck Surg"
"114","Medical Graduate's Basic Knowledge and Clinical Skills Assessment in Otorhinolaryngology Post Internship.",2017,"Indian J Otolaryngol Head Neck Surg"
"115","Occult Primary with Cervical Secondary-Role of CT Scan and Evaluation Under Anesthesia.",2017,"Indian J Otolaryngol Head Neck Surg"
"116","A Comparison of the Diagnostic Efficiency of Guided Fine Needle Aspiration Cytology Versus Conventional Fine Needle Aspiration Cytology of the Thyroid.",2017,"Indian J Otolaryngol Head Neck Surg"
"117","Laryngocele: A Rare Case Report and Review of Literature.",2017,"Indian J Otolaryngol Head Neck Surg"
"118","Role of Toluidine Blue Staining in Suspicious Lesions of Oral Cavity and Oropharynx.",2017,"Indian J Otolaryngol Head Neck Surg"
"119","Optical Loupes: A Useful Tool for the Oncall Otorhinolaryngologist-Our Experience.",2017,"Indian J Otolaryngol Head Neck Surg"
"120","Acute Thyroid Profile Changes During External Beam Irradiation of Neck.",2017,"Indian J Otolaryngol Head Neck Surg"
"121","Analysis of Malignant Thyroid Neoplasms with a Striking Rise of Papillary Microcarcinoma in an Endemic Goiter Region.",2017,"Indian J Otolaryngol Head Neck Surg"
"122","Unusual Presentation of Myasthenia Crisis Following Thymectomy and Thyroidectomy.",2017,"Indian J Otolaryngol Head Neck Surg"
"123","A Study to Assess The Efficacy of Local Application of Oral Probiotic in Treating Recurrent Aphthous Ulcer and Oral Candidiasis.",2017,"Indian J Otolaryngol Head Neck Surg"
"124","The Rosai-Dorfman Disease: A Differential Diagnosis in Cervical Swelling.",2017,"Indian J Otolaryngol Head Neck Surg"
"125","Tuberculous Bronchoesophageal Fistula in Nephrotic Syndrome: A Silent Assassin.",2017,"Indian J Otolaryngol Head Neck Surg"
"126","Acoustic Analysis of Indian Teachers' Voice: Pre and Post Teaching Circumstances.",2017,"Indian J Otolaryngol Head Neck Surg"
"127","Acquired Angioedema: A Rare Manifestation of Angioimmunoblastic T Cell Lymphoma.",2017,"Indian J Otolaryngol Head Neck Surg"
"128","A Rare Case of Basal Cell Adenocarcinoma of Parotid Gland with Intracranial Extension.",2017,"Indian J Otolaryngol Head Neck Surg"
"129","Von Recklinghausen's Disease Presenting as Otolaryngologic Emergency: A Rare Occurrence.",2017,"Indian J Otolaryngol Head Neck Surg"
"130","The Need for Completion Thyroidectomy in Cases of Differentiated Thyroid Cancer.",2017,"Indian J Otolaryngol Head Neck Surg"
"131","Dual Ectopic Thyroid Gland in an Elderly Male: Double Trouble?",2017,"Indian J Otolaryngol Head Neck Surg"
"132","A Rare Case of Locally Advanced Recurrent Neuroendocrine Tumour of Neck Salvaged by a Radical Surgical Approach.",2017,"Indian J Otolaryngol Head Neck Surg"
